epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,42663.7,1.16,0.5691,0.83732,0.92923,0.83545,0.89276,0.61131,1.08822,0.50607,0.82284,0.0086338,0.0086338,0.0086338
140,42974.7,1.15994,0.56914,0.83775,0.92938,0.83587,0.89284,0.61129,1.08835,0.50597,0.82286,0.0086239,0.0086239,0.0086239
141,43276,1.16219,0.57109,0.83754,0.92908,0.83576,0.89281,0.61134,1.08807,0.5058,0.82286,0.008614,0.008614,0.008614
142,43576.4,1.16309,0.57098,0.83799,0.93009,0.83585,0.89291,0.61147,1.08768,0.50557,0.8228,0.0086041,0.0086041,0.0086041
143,43877.6,1.16118,0.56967,0.83823,0.93137,0.83534,0.89379,0.61177,1.08766,0.50567,0.82277,0.0085942,0.0085942,0.0085942
144,44179.9,1.16267,0.5708,0.83815,0.9317,0.8349,0.89355,0.61188,1.08747,0.50546,0.82272,0.0085843,0.0085843,0.0085843
145,44480.5,1.16044,0.56989,0.83828,0.93095,0.83515,0.89345,0.61202,1.08722,0.50544,0.82269,0.0085744,0.0085744,0.0085744
146,44782.8,1.16047,0.56949,0.83723,0.93105,0.83483,0.89348,0.61192,1.08675,0.50513,0.82265,0.0085645,0.0085645,0.0085645
147,45084.5,1.15742,0.56869,0.83742,0.93077,0.83556,0.89353,0.61183,1.08658,0.5051,0.82264,0.0085546,0.0085546,0.0085546
148,45385.9,1.16075,0.56991,0.83767,0.93062,0.83585,0.89387,0.61196,1.08631,0.50504,0.82261,0.0085447,0.0085447,0.0085447
149,45686.6,1.15665,0.56745,0.83716,0.92915,0.83697,0.89401,0.61203,1.08616,0.50498,0.82256,0.0085348,0.0085348,0.0085348
150,45988.8,1.15436,0.566,0.83738,0.92947,0.83676,0.89389,0.61226,1.08593,0.50477,0.82253,0.0085249,0.0085249,0.0085249
151,46291.4,1.15921,0.56759,0.83735,0.92971,0.83681,0.8942,0.61251,1.08559,0.50447,0.8224,0.008515,0.008515,0.008515
152,46591.6,1.15796,0.5684,0.83741,0.92975,0.83681,0.89423,0.61252,1.08563,0.50414,0.82237,0.0085051,0.0085051,0.0085051
153,46892,1.15824,0.56849,0.83747,0.92993,0.8364,0.89446,0.61254,1.08495,0.50382,0.82228,0.0084952,0.0084952,0.0084952
154,47193.2,1.15903,0.56793,0.83682,0.92931,0.83743,0.89452,0.61269,1.08492,0.50362,0.82222,0.0084853,0.0084853,0.0084853
155,47492.2,1.15905,0.56839,0.83703,0.92859,0.83744,0.89438,0.6128,1.08449,0.50357,0.82216,0.0084754,0.0084754,0.0084754
156,47793.7,1.15543,0.56708,0.83672,0.92781,0.83814,0.89452,0.61286,1.08418,0.50349,0.82207,0.0084655,0.0084655,0.0084655
157,48093.9,1.15697,0.56741,0.83711,0.92764,0.83863,0.89478,0.61294,1.08378,0.50334,0.82197,0.0084556,0.0084556,0.0084556
158,48395.1,1.15918,0.56793,0.83674,0.92776,0.83841,0.89466,0.61327,1.08367,0.50315,0.82196,0.0084457,0.0084457,0.0084457
159,48694.2,1.15768,0.56787,0.83698,0.92877,0.83762,0.89469,0.61364,1.08341,0.50311,0.82195,0.0084358,0.0084358,0.0084358
160,48993.1,1.15343,0.56587,0.83696,0.92918,0.83834,0.89494,0.61382,1.08314,0.50289,0.82188,0.0084259,0.0084259,0.0084259
161,49294.8,1.15481,0.56553,0.83626,0.92881,0.83884,0.89487,0.61402,1.08294,0.50277,0.82186,0.008416,0.008416,0.008416
162,49605.7,1.15643,0.56746,0.83696,0.92787,0.83882,0.89476,0.61392,1.08274,0.50287,0.82183,0.0084061,0.0084061,0.0084061
